BubbleSort, QuickSort, MergeSort
23.544, 0.045, 0.017
23.55, 0.047, 0.017
23.589, 0.045, 0.017
23.55, 0.045, 0.017
23.62, 0.044, 0.018
23.635, 0.044, 0.018
23.384, 0.046, 0.017
23.51, 0.044, 0.017
23.739, 0.045, 0.018
23.615, 0.044, 0.018
23.412, 0.044, 0.018
23.445, 0.046, 0.017
23.494, 0.044, 0.018
23.565, 0.044, 0.017
23.588, 0.045, 0.017
23.724, 0.046, 0.018
23.391, 0.045, 0.017
23.663, 0.046, 0.018
23.822, 0.046, 0.018
23.8, 0.047, 0.018
23.776, 0.044, 0.019
23.788, 0.046, 0.018
23.773, 0.046, 0.018
23.761, 0.046, 0.017
23.801, 0.045, 0.018
23.89, 0.044, 0.017
23.806, 0.045, 0.017
23.82, 0.046, 0.018
23.95, 0.051, 0.017
23.808, 0.044, 0.018
23.747, 0.045, 0.017
23.949, 0.045, 0.018
24.299, 0.045, 0.017
23.892, 0.045, 0.019
23.915, 0.044, 0.018
23.328, 0.045, 0.017
23.306, 0.044, 0.018
23.276, 0.044, 0.017
23.308, 0.045, 0.017
23.35, 0.044, 0.018
23.305, 0.043, 0.018
23.37, 0.044, 0.016
23.374, 0.044, 0.017
23.335, 0.045, 0.018
23.381, 0.045, 0.017
23.325, 0.044, 0.017
23.293, 0.045, 0.017
23.328, 0.044, 0.018
23.354, 0.045, 0.017
23.326, 0.045, 0.017
23.335, 0.044, 0.018
23.358, 0.045, 0.018
23.994, 0.049, 0.018
24.101, 0.053, 0.019
24.508, 0.044, 0.018
24.143, 0.045, 0.018
23.965, 0.046, 0.017
23.875, 0.047, 0.018
23.885, 0.046, 0.017
23.885, 0.045, 0.017
23.839, 0.045, 0.017
23.801, 0.045, 0.018
23.951, 0.045, 0.018
23.978, 0.046, 0.018
24.146, 0.044, 0.018
23.963, 0.045, 0.018
23.931, 0.046, 0.017
23.911, 0.046, 0.018
23.825, 0.048, 0.017
23.872, 0.046, 0.019
23.805, 0.045, 0.018
23.928, 0.045, 0.017
24.177, 0.046, 0.017
23.872, 0.045, 0.017
23.89, 0.046, 0.018
23.923, 0.047, 0.018
23.84, 0.044, 0.018
23.774, 0.044, 0.017
23.841, 0.045, 0.018
23.932, 0.044, 0.018
23.771, 0.046, 0.018
23.832, 0.046, 0.018
23.947, 0.045, 0.018
23.859, 0.044, 0.018
23.75, 0.045, 0.018
23.793, 0.044, 0.018
23.921, 0.046, 0.017
23.898, 0.052, 0.018
23.949, 0.045, 0.018
